date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:48	63375/63375	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2029%20Dec%202024%2023:13:47%20GMT	https://www.bupkis.org/	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.html	(from )
18:13:49	111/111	U-----	200	untouched ('OK')	text/plain	date:Sun,%2029%20Dec%202024%2022:51:01%20GMT	https://www.bupkis.org/robots.txt		(from )
18:13:49	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Dec%202024%2023:13:49%20GMT	https://fonts.gstatic.com/	/home/steph/Desktop/bupkis.dotorg/fonts.gstatic.com/index.html	(from https://www.bupkis.org/)
18:13:51	1371/1371	U--MC-	200	updated ('OK')	text/css	date:Sun,%2029%20Dec%202024%2023:13:50%20GMT	http://fonts.googleapis.com/css?family=Playfair+Display:regular,italic,700,700italic,900,900italic	/home/steph/Desktop/bupkis.dotorg/fonts.googleapis.com/css58da.css	(from https://www.bupkis.org/)
18:13:54	905/905	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%227a9b1e93253adc79a5dac6eee9ff18df-gzip%22	https://www.bupkis.org/index.php/feed	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/feed	(from https://www.bupkis.org/)
18:13:55	799/799	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%227a9b1e93253adc79a5dac6eee9ff18df-gzip%22	https://www.bupkis.org/index.php/comments/feed	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/comments/feed	(from https://www.bupkis.org/)
18:13:56	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Dec%202024%2023:13:56%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.bupkis.org/)
18:13:58	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Dec%202024%2023:13:49%20GMT	https://fonts.googleapis.com/	/home/steph/Desktop/bupkis.dotorg/fonts.googleapis.com/index.html	(from https://www.bupkis.org/)
18:14:00	6177/6177	U--MC-	200	updated ('OK')	application/json	date:Sun,%2029%20Dec%202024%2023:13:55%20GMT	https://www.bupkis.org/index.php/wp-json/wp/v2/pages/5986	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/wp-json/wp/v2/pages/5986.json	(from https://www.bupkis.org/)
18:14:02	208544/208544	U--MC-	200	updated ('OK')	application/json	date:Sun,%2029%20Dec%202024%2023:13:51%20GMT	https://www.bupkis.org/index.php/wp-json/	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/wp-json/index.html	(from https://www.bupkis.org/)
18:14:02	808/808	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2029%20Dec%202024%2023:13:57%20GMT	https://www.bupkis.org/xmlrpc.php?rsd	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/xmlrpc0db0.php	(from https://www.bupkis.org/)
18:14:04	60146/60146	U--M-Z	200	updated ('OK')	text/html	date:Sun,%2029%20Dec%202024%2023:14:03%20GMT	https://www.bupkis.org/index.php/friends	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/friends.html	(from https://www.bupkis.org/)
18:14:04	51/51	U--MCZ	200	updated ('OK')	text/plain	date:Sun,%2029%20Dec%202024%2023:13:59%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.bupkis.org/)
18:14:04	51/51	------	200	untouched ('OK')	text/plain	date:Sun,%2029%20Dec%202024%2022:53:03%20GMT	http://fonts.googleapis.com/robots.txt		(from https://www.bupkis.org/)
18:14:04	2028/2028	U--MC-	200	updated ('OK')	application/json	date:Sun,%2029%20Dec%202024%2023:14:01%20GMT	https://www.bupkis.org/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.bupkis.org%2F	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/wp-json/oembed/1.0/embed95a8.json	(from https://www.bupkis.org/)
18:14:04	2191/2191	U--M-Z	200	updated ('OK')	text/xml	date:Sun,%2029%20Dec%202024%2023:14:02%20GMT	https://www.bupkis.org/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.bupkis.org%2F&format=xml	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/wp-json/oembed/1.0/embed8856	(from https://www.bupkis.org/)
18:14:04	60633/60633	------	200	untouched ('OK')	text/html	date:Sun,%2029%20Dec%202024%2023:08:24%20GMT	https://www.bupkis.org/index.php/friends/humans	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/friends/humans.html	(from https://www.bupkis.org/)
18:14:04	61905/61905	------	200	untouched ('OK')	text/html	date:Sun,%2029%20Dec%202024%2023:08:24%20GMT	https://www.bupkis.org/index.php/friends/molson	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/friends/molson.html	(from https://www.bupkis.org/)
18:14:04	60912/60912	------	200	untouched ('OK')	text/html	date:Sun,%2029%20Dec%202024%2023:08:24%20GMT	https://www.bupkis.org/index.php/friends/russell	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/friends/russell.html	(from https://www.bupkis.org/)
18:14:04	62631/62631	------	200	untouched ('OK')	text/html	date:Sun,%2029%20Dec%202024%2023:08:26%20GMT	https://www.bupkis.org/index.php/friends/sam	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/friends/sam.html	(from https://www.bupkis.org/)
18:14:04	64570/64570	------	200	untouched ('OK')	text/html	date:Sun,%2029%20Dec%202024%2023:08:27%20GMT	https://www.bupkis.org/index.php/recipes-2/pizza-index/pizza-dough	/home/steph/Desktop/bupkis.dotorg/www.bupkis.org/index.php/recipes-2/pizza-index/pizza-dough.html	(from https://www.bupkis.org/)
